web_scraper_order,web_scraper_start_url,city,cost_of_living_index,rank,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
"1770902482-75","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Gothenburg, Sweden","68.7","75","25.4","49.4","68.0","76.5","154.7"
"1770902482-76","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Groningen, Netherlands","68.7","76","28.0","50.5","67.1","75.0","126.7"
"1770902482-77","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Birmingham, United Kingdom","68.6","77","30.8","51.7","64.7","69.7","124.5"
"1770902482-78","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Turku, Finland","68.6","78","20.5","47.1","66.6","81.3","125.1"
"1770902482-79","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Uppsala, Sweden","68.5","79","22.6","48.1","70.6","70.4","128.4"
"1770902482-80","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Leeds, United Kingdom","68.4","80","31.1","51.8","66.7","71.2","116.4"
"1770902482-81","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bologna, Italy","68.3","81","27.1","49.9","71.0","72.6","84.4"
"1770902482-82","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Mannheim, Germany","68.3","82","22.8","48.0","67.5","60.2","179.8"
"1770902482-83","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bremen, Germany","68.2","83","22.3","47.8","67.3","66.5","139.3"
"1770902482-84","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Hanover, Germany","67.9","84","22.6","47.7","64.8","66.2","127.1"
"1770902482-85","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Glasgow, United Kingdom","67.8","85","33.8","52.7","64.3","72.2","124.7"
"1770902482-86","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Newcastle upon Tyne, United Kingdom","67.7","86","27.9","49.9","62.3","77.4","148.3"
"1770902482-87","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Limerick, Ireland","67.4","87","41.5","55.9","72.0","70.4","119.0"
"1770902482-88","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Milton Keynes, United Kingdom","67.3","88","35.6","53.2","59.4","70.9","123.4"
"1770902482-89","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Leipzig, Germany","67.3","89","21.1","46.7","66.3","62.6","130.1"
"1770902482-90","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","York, United Kingdom","67.2","90","32.7","51.8","61.8","81.6","124.3"
"1770902482-91","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Cardiff, United Kingdom","67.0","91","32.1","51.4","66.2","72.6","119.4"
"1770902482-92","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bournemouth, United Kingdom","67.0","92","36.2","53.3","58.0","73.6","116.4"
"1770902482-93","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Erlangen, Germany","66.8","93","23.5","47.5","68.8","61.0","193.7"
"1770902482-94","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Aachen, Germany","66.8","94","20.2","46.0","64.4","61.6","140.2"
