City,Country,Rank,Rent Index,Cost of Living & Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Estimated Beer Price (€),Beer Affordability Score
Kosice, Slovakia,145,23.4,39.3,51.2,48.7,75.5,2,25.17
Zagreb, Croatia,137,20.2,38.8,51.9,54.7,98.4,2,28.11
Tartu, Estonia,130,15.5,38.5,50.0,66.6,96,2,21.33
Vilnius, Lithuania,143,20.1,38.3,45.9,58.3,96.3,2,24.08
Alicante, Spain,150,22.2,38.1,51.8,53.7,105,2,26.25
Heraklion, Greece,132,16.6,38.1,53.9,53.3,62.2,2,13.82
Oviedo, Spain,139,17.7,37.6,53.3,58.4,111.4,2,27.85
Las Palmas de Gran Canaria, Spain,160,22.8,37.5,53.6,47.4,93.8,2,23.45
Krakow (Cracow), Poland,157,22.4,37.4,41.9,50.9,102.8,2,29.37
Seville (Sevilla), Spain,154,21.8,37.4,52.3,50,98.8,2,24.7
Budapest, Hungary,149,20.3,37.3,47.8,50.5,84.9,2,33.96
Gdansk, Poland,155,21.6,37.2,42.1,51.8,97.1,2,27.74
Rijeka, Croatia,138,16.7,37.2,49.4,56.9,79.4,2,22.69
Wroclaw, Poland,158,21.7,37.1,42.3,51.4,92.8,2,26.51
Riga, Latvia,133,14.5,36.9,48.4,59.6,82.3,2,20.58
Belgrade, Serbia,163,21.5,36,42.0,52.3,65,2,26
Thessaloniki, Greece,141,14.2,35.9,50.3,61.1,62.7,2.5,13.93
Tirana, Albania,156,18.3,35.6,49.6,49.7,45.6,2.5,22.8
Ostrava, Czech Republic,153,16.8,35.5,50.7,43.6,92.6,2.5,37.04
Coimbra, Portugal,166,20.9,35.5,47.8,42.5,75.8,3,25.27
Granada, Spain,161,18.6,35.4,47.1,49.9,108.1,3,27.02
Catania, Italy,146,14.6,35.3,46.7,56.5,112,3.5,20.36
Braga, Portugal,167,21,35.2,46.3,43.8,71.2,4,23.73
Kaunas, Lithuania,144,13.6,35.2,49.7,59,84.1,4,21.02
Plzen, Czech Republic,151,15.2,35,50.9,42.6,114.7,4,45.88
Poznan, Poland,168,19,34.2,39.7,47.3,105.3,4,30.09
Sofia, Bulgaria,170,18,33.6,45.2,47.1,96.1,4,48.05
Lodz, Poland,165,15.4,33.1,40.9,49.9,98,4,28
Pecs, Hungary,162,13.4,32.7,48.7,44.7,57.4,4,22.96
Bucharest, Romania,169,15.6,32.6,42.9,53.4,85.4,4,34.16
Cluj-Napoca, Romania,176,17.4,32.5,42.4,49.1,83.6,4,33.44
Szczecin, Poland,174,16.7,32.2,39.2,43.7,101.3,4,28.94
Debrecen, Hungary,171,15.5,32.2,45.5,44.3,71.1,4,28.44
Brasov, Romania,178,17.2,31.9,40.5,49.6,67.9,4,27.16
Vladivostok, Russia,177,16.7,31.9,40.4,43.4,53.6,7.5,26.8
Katowice, Poland,175,15.6,31.7,41.6,46.1,101.6,7.5,29.03
Novi Sad, Serbia,173,14.3,31.3,41.3,45.3,62.9,7.5,25.16
Varna, Bulgaria,172,13,31,46.9,45.6,72.5,7.5,36.25
Podgorica, Montenegro,181,16.7,30.9,41.1,43.5,72.1,7.5,24.03
Saint Petersburg, Russia,186,18.9,30.8,37.4,37.2,74.5,9,37.25
Constanta, Romania,179,14.8,30.7,39.6,52,62.9,9,25.16
Yekaterinburg, Russia,183,16.2,29.8,37.8,42.5,58.5,9,29.25
Sarajevo, Bosnia And Herzegovina,180,12,29.1,42.7,37,66.4,9,33.2
Burgas, Bulgaria,184,12.9,28.2,42.2,43,72,9,36
Timisoara, Romania,182,11.7,28.1,38.5,46.9,90.8,9,36.32
Tyumen, Russia,189,14.5,28.1,37.9,41.4,57.5,1.5,28.75
Iasi, Romania,185,11.7,27.7,39.1,41.2,75.7,1.5,30.28
Plovdiv, Bulgaria,187,11.8,27.5,42.0,39.1,79.3,1.5,39.65
Chisinau, Moldova,197,15.8,27.2,33.8,34,56.2,1.5,37.47
Craiova, Romania,188,11,27,37.1,39.7,78.6,1.5,31.44
Sibiu, Romania,190,12.2,26.8,36.5,43.8,86.5,6.8,34.6
Kazan, Russia,194,13.2,26.3,35.5,35.2,63.1,6.8,31.55
Novosibirsk, Russia,195,12.3,25.9,35.6,33.3,60.8,6.8,30.4
Nizhny Novgorod, Russia,201,13,25.8,33.7,38.7,58.7,6.8,29.35
Krasnodar, Russia,200,12.2,25.5,32.5,35.7,61.8,6.8,30.9
Skopje, North Macedonia,192,9.5,25.3,37.2,32.6,65.5,6.8,32.75
Kaliningrad, Russia,196,11.2,25.2,36.6,34.1,61.1,6.8,30.55
Oradea, Romania,191,8.8,25.1,37.7,40.1,74.6,6.8,29.84
Samara, Russia,199,11.1,25,32.0,37.4,54,6.8,27
Rostov-on-Don (Rostov-na-donu), Russia,203,11.3,24.8,33.5,37.6,65.9,6.8,32.95
Nis, Serbia,193,8.7,24.8,35.4,34.9,67.3,6.8,26.92
Ufa, Russia,198,10.4,24.7,35.0,38.3,61,6.8,30.5
Tomsk, Russia,202,10.7,24.6,36.6,28.7,57.5,6.8,28.75
Chelyabinsk, Russia,204,10.4,24.3,34.7,32.4,51.3,6.8,25.65
Kiev (Kyiv), Ukraine,208,13.7,23.8,32.2,31,58.7,6.8,39.13
Perm, Russia,206,11.2,23.4,34.2,29.5,64.7,6.8,32.35
Minsk, Belarus,207,11.8,23,31.5,35.3,70.6,6.8,39.22
Stara Zagora, Bulgaria,205,7.3,21.9,34.8,33.1,105.6,6.8,52.8
Dnipro, Ukraine,209,10.3,21.8,28.7,36.6,44.3,6.8,29.53
Lviv, Ukraine,211,11,21.2,29.6,27.4,53.9,6.8,35.93
Pristina, Kosovo (Disputed Territory),212,8.4,19.7,29.9,25.5,66.4,6.8,33.2
Odessa (Odesa), Ukraine,210,7,19.6,29.5,28.5,46.2,6.8,30.8
Kharkiv, Ukraine,213,5.5,17.3,27.3,24.8,51.7,6.8,34.47
